,name,Tags,_wandb/runtime,_runtime,_step,_timestamp,epoch,train/loss,trainer/global_step,val/loss,data/_target_,data/data_dir,data/batch_size,data/pin_memory,data/num_workers,seed,tags,model/net/_target_,model/net/n_dimension,model/net/n_particles,model/compile,model/_target_,model/optimizer/lr,model/optimizer/_target_,model/optimizer/_partial_,model/optimizer/weight_decay,model/scheduler/max_lr,model/scheduler/_target_,model/scheduler/_partial_,model/scheduler/pct_start,model/scheduler/div_factor,model/scheduler/total_steps,model/scheduler/cycle_momentum,model/scheduler/anneal_strategy,model/scheduler/final_div_factor,model/sampling_d,extras/enforce_tags,extras/print_config,extras/ignore_warnings,trainer/devices,trainer/_target_,trainer/max_epochs,trainer/min_epochs,trainer/accelerator,trainer/deterministic,trainer/default_root_dir,trainer/check_val_every_n_epoch,callbacks/model_summary/_target_,callbacks/model_summary/max_depth,callbacks/model_checkpoint/mode,callbacks/model_checkpoint/dirpath,callbacks/model_checkpoint/monitor,callbacks/model_checkpoint/verbose,callbacks/model_checkpoint/_target_,callbacks/model_checkpoint/filename,callbacks/model_checkpoint/save_last,callbacks/model_checkpoint/save_top_k,callbacks/model_checkpoint/every_n_epochs,callbacks/model_checkpoint/save_weights_only,callbacks/model_checkpoint/every_n_train_steps,callbacks/model_checkpoint/train_time_interval,callbacks/model_checkpoint/auto_insert_metric_name,callbacks/model_checkpoint/save_on_train_epoch_end,callbacks/rich_progress_bar/_target_,ckpt_path,task_name,model/params/total,model/params/trainable,model/params/non_trainable,model/sampling_d_base,model/jarzynski_batch_size,trainer/gradient_clip_val
0,cerulean-firebrand-1,dev,47,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},1024,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.001,torch.optim.AdamW,True,0.1,0.001,torch.optim.lr_scheduler.OneCycleLR,True,0,1,40,False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,,
1,azure-lake-2,dev,1005,1005.725625914,39.0,1736620398.2712972,39.0,1.0641106367111206,3919.0,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},1024,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.001,torch.optim.AdamW,True,0.1,0.001,torch.optim.lr_scheduler.OneCycleLR,True,0,1,40,False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,,
2,jolly-feather-3,dev,1,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,${data.batch_size},1.0
3,exalted-morning-4,dev,12,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,${data.batch_size},1.0
4,drawn-aardvark-5,dev,1,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,${data.batch_size},1.0
5,fiery-breeze-6,dev,3,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,${data.batch_size},1.0
6,wobbly-feather-7,dev,2,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,,${data.batch_size},1.0
7,rosy-rain-8,dev,1,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,128.0,${data.batch_size},1.0
8,true-grass-9,dev,152,,,,,,,,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,7.0,${data.batch_size},1.0
9,happy-cherry-10,dev,46,46.734665738,7.0,1736624295.7662888,0.0,1.1898260116577148,390.0,1.290143609046936,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,0.0,${data.batch_size},1.0
10,dulcet-breeze-11,dev,46,46.539742699,7.0,1736624833.894636,0.0,1.2547166347503662,390.0,1.2915730476379397,src.data.dw4_datamodule.DW4DataModule,${paths.data_dir},256,True,2,,['dev'],src.models.components.egnn_dynamics_consistency.EGNNDynamicsConsistency,2,4,False,src.models.shortcut_module.ShortcutLitModule,0.005,torch.optim.AdamW,True,0.1,${model.optimizer.lr},torch.optim.lr_scheduler.OneCycleLR,True,0,1,${trainer.max_epochs},False,cos,1,,True,True,False,1,lightning.pytorch.trainer.Trainer,40,1,cpu,False,${paths.output_dir},1,lightning.pytorch.callbacks.RichModelSummary,-1,min,${paths.output_dir}/checkpoints,train/loss,False,lightning.pytorch.callbacks.ModelCheckpoint,epoch_{epoch:03d},True,1,,False,,,False,,lightning.pytorch.callbacks.RichProgressBar,,train,146567,146567,0,0.0,${data.batch_size},1.0
